Project Title,Administering  IC,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Contact PI  Person ID,Contact PI / Project Leader,Organization Name,FY,FY Total Cost 
GENETIC ANALYSIS OF CONSERVED MICRORNAS IN C. ELEGANS,NIGMS,2R15GM084451-02,2,R15,GM,84451,2,,9114482,"ABBOTT, ALLISON LYNN",MARQUETTE UNIVERSITY,2011,301000
THE ROLE OF CALCIUM-DPA IN THE VIRULENCE OF BACILLUS ANTHRACIS SPORES,NIAID,1R15AI103883-01,1,R15,AI,103883,1,,7035956,"ABEL-SANTOS, ERNESTO V",UNIVERSITY OF NEVADA LAS VEGAS,2013,398515
QUIT4BABY: REACHING PREGNANT SMOKERS WITH HEALTH INFORMATION VIA TEXT MESSAGING,NCI,1R15CA167586-01A1,1,R15,CA,167586,1,A1,8557310,"ABROMS, LORIEN C",GEORGE WASHINGTON UNIVERSITY,2013,380145
INHIBITION OF MTOR ALTERS EPSTEIN-BARR VIRUS LYTIC REPLICATION,NIAID,1R15AI098015-01A1,1,R15,AI,98015,1,A1,1890408,"ADAMSON, AMY L",UNIVERSITY OF NORTH CAROLINA GREENSBORO,2012,427244
ALTERED HEPATIC DISPOSITION OF STATINS BY DIABETES MELLITUS,NIGMS,1R15GM101599-01,1,R15,GM,101599,1,,8624788,"AKHLAGHI, FATEMEH ",UNIVERSITY OF RHODE ISLAND,2012,332479
IDENTIFICATION AND CHARACTERIZATION OF A INTEGRIN - NOTCH SIGNALING AXIS,NIGMS,1R15GM102852-01,1,R15,GM,102852,1,,7075982,"ALBIG, ALLAN R",BOISE STATE UNIVERSITY,2012,302456
MECHANISM OF AMPHIPATHIC AND CARGO-DELIVERY PEPTIDES,NIGMS,2R15GM072507-03,2,R15,GM,72507,3,,7919758,"ALMEIDA, PAULO F",UNIVERSITY OF NORTH CAROLINA WILMINGTON,2012,268326
SRC FAMILY KINASES AND CONTROL OF EPITHELIAL CELL PARACELLULAR PERMEABILITY,NIDDK,1R15DK091749-01A1,1,R15,DK,91749,1,A1,1889445,"AMSLER, KURT F",NEW YORK INST OF TECHNOLOGY,2012,486441
MOLECULAR AND BIOCHEMICAL PROBING OF YEAST; RNA SURVEILLANCE COMPLEX TRAMP,NIGMS,1R15GM100445-01A1,1,R15,GM,100445,1,A1,6797487,"ANDERSON, JAMES T",MARQUETTE UNIVERSITY,2012,301000
DEVELOPMENT OF INHIBITORS OF THE CALCIUM-ACTIVATED CHLORIDE CHANNEL TMEM16A,NIGMS,1R15GM102874-01A1,1,R15,GM,102874,1,A1,9201376,"ANDERSON, MARC O",SAN FRANCISCO STATE UNIVERSITY,2013,284049
REGENERATION OF THE DEVELOPING CHICK ELBOW JOINT,NICHD,2R15HD060012-02,2,R15,HD,60012,2,,9350238,"ANDERSON, ROSALIE ",LOYOLA UNIVERSITY IN NEW ORLEANS,2012,430229
COGNITIVE BENEFITS OF INTERACTIVE MENTAL AND PHYSICAL EXERCISE FOR MCI,NIA,1R15AG042109-01A1,1,R15,AG,42109,1,A1,10986536,"ANDERSON-HANLEY, CAY ",UNION COLLEGE,2013,329593
REGULATION OF GLUCAGON SECRETION BY MELANOCORTIN RECEPTOR-4,NIDDK,1R15DK089442-01,1,R15,DK,89442,1,,1887969,"ANGLESON, JOSEPH K",UNIVERSITY OF DENVER (COLORADO SEMINARY),2010,378750
INVESTIGATING MECHANISM OF INTRACELLULAR ROTATIONAL TRANSPORT WITH OPTICAL T,NIBIB,1R15EB014560-01A1,1,R15,EB,14560,1,A1,8304636,"ANKER, JEFFREY N",CLEMSON UNIVERSITY,2012,216277
DESIGN AND CHARACTERIZATION OF A SINGLE-CHAIN HEMOGLOBIN,NHLBI,2R15HL081068-02A1,2,R15,HL,81068,2,A1,2071237,"ANTHONY-CAHILL, SPENCER J",WESTERN WASHINGTON UNIVERSITY,2010,274457
SYSTEMATICS OF MEDICALLY IMPORTANT DERMACENTOR TICK VECTORS,NIAID,1R15AI096317-01,1,R15,AI,96317,1,,10656807,"APANASKEVICH, DMITRY A",GEORGIA SOUTHERN UNIVERSITY,2011,327500
STRESS: POTENTIAL IMPACT ON AN ANIMAL MODEL OF ENDOMETRIOSIS,NCCAM,3R15AT006373-01A1S1,3,R15,AT,6373,1,A1S1,6131384,"APPLEYARD, CAROLINE B",PONCE SCHOOL OF MEDICINE,2012,84870
STRESS: POTENTIAL IMPACT ON AN ANIMAL MODEL OF ENDOMETRIOSIS,NCCAM,1R15AT006373-01A1,1,R15,AT,6373,1,A1,6131384,"APPLEYARD, CAROLINE B",PONCE SCHOOL OF MEDICINE,2011,424216
PHYSIOLOGICALLY RELEVANT ENERGETIC INTERACTIONS WITHIN THE NA/K PUMP,NINDS,1R15NS081570-01A1,1,R15,NS,81570,1,A1,9122829,"ARTIGAS, PABLO ",TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,2013,452588
UNDERSTANDING THE MECHANISM OF CELL SENESCENCE DELAY BY METHYLENE BLUE,NIA,1R15AG041414-01,1,R15,AG,41414,1,,7124257,"ATAMNA, HANI ",COMMONWEALTH MEDICAL COLLEGE,2011,313836
CHARACTERIZING THE STRUCTURE OF ALKANE HYDROXYLASE (ALKB) AND RELATED DIIRON ENZY,NIGMS,2R15GM072506-03,2,R15,GM,72506,3,,7702736,"AUSTIN, RACHEL NAREHOOD",BATES COLLEGE,2013,319200
SIRT3: A KEY PLAYER AGAINST PCB-INDUCED MITOCHONDRIAL INJURY,NIEHS,1R15ES022781-01,1,R15,ES,22781,1,,10622608,"AYKIN-BURNS, NUKHET ",UNIV OF ARKANSAS FOR MED SCIS,2013,442500
FUNCTION OF MOUSE HEAT SHOCK FACTOR 1 ALPHA AND BETA ISOFORMS,NIGMS,1R15GM096231-01,1,R15,GM,96231,1,,1921791,"BACHMAN, NANCY J",COLLEGE AT ONEONTA,2011,277580
ROLE OF PARABRACHIAL NUCLEUS NEUROPEPTIDES IN FEEDING,NIDCD,2R15DC007389-03,2,R15,DC,7389,3,,6252305,"BAIRD, JOHN-PAUL ",AMHERST COLLEGE,2011,450012
INTERACTIVE EFFECT OF ENVIRONMENTAL EXPOSURES AND ALCOHOL IN THE NAVAJO BIRTH COH,NIAAA,1R15AA022242-01,1,R15,AA,22242,1,,10370790,"BAKHIREVA, LUDMILA NICOLE ",UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2013,421922
THE ROLE OF CYP2B IN TOXICANT METABOLISM AND SENSITIVITY,NIEHS,2R15ES017321-02,2,R15,ES,17321,2,,8489237,"BALDWIN, WILLIAM S",CLEMSON UNIVERSITY,2012,363083
ROLE OF FIBRATE MECHANISM IN DIABETES AND ITS COMPLICATIONS,NIDDK,1R15DK085496-01,1,R15,DK,85496,1,,9748604,"BALENDIRAN, GANESARATNAM ",YOUNGSTOWN STATE UNIVERSITY,2010,202275
GLIDING MOTILITY AND CYTADHERENCE IN MYCOPLASMA PENETRANS,NIAID,2R15AI073994-02,2,R15,AI,73994,2,,1922927,"BALISH, MITCHELL F",MIAMI UNIVERSITY OXFORD,2011,314880
IDENTIFYING PROTEINS IN THE MICROTUBULE LUMEN,NIGMS,1R15GM102867-01,1,R15,GM,102867,1,,1927753,"BANE, SUSAN L","STATE UNIVERSITY OF NY,BINGHAMTON",2012,321038
LONG-TERM EFFECTS OF EARLY-LIFE ANTIPSYCHOTIC DRUG TREATMENT,NIMH,1R15MH094955-01,1,R15,MH,94955,1,,1893500,"BARDGETT, MARK EDWARD",NORTHERN KENTUCKY UNIVERSITY,2011,406200
MODELS FOR NITRATE REDUCTASES AND RELATED ENZYMES,NIGMS,3R15GM061555-04A1S1,3,R15,GM,61555,4,A1S1,6369827,"BASU, PARTHA ",DUQUESNE UNIVERSITY,2012,81416
MODELS FOR NITRATE REDUCTASES AND RELATED ENZYMES,NIGMS,2R15GM061555-04A1,2,R15,GM,61555,4,A1,6369827,"BASU, PARTHA ",DUQUESNE UNIVERSITY,2011,338154
LUNG CANCER RECURRENCE AND SURVIVAL: STATISTICAL METHODS AND MODELS FOR ETHNIC AN,NCI,1R15CA152896-01A1,1,R15,CA,152896,1,A1,2257308,"BASU, SANJIB ",NORTHERN ILLINOIS UNIVERSITY,2011,349428
A CONSERVED G-RICH REGION WITHIN HUMAN TH PROMOTER REGULATES ITS ACTIVITY,NIGMS,1R15GM096285-01A1,1,R15,GM,96285,1,A1,9246048,"BASU, SOUMITRA ",KENT STATE UNIVERSITY AT KENT,2011,280768
NOD-LIKE RECEPTOR SIGNALING IS CRITICAL TO SECONDHAND SMOKE-INDUCED IMMUNITY AND,NIEHS,1R15ES023151-01,1,R15,ES,23151,1,,11629550,"BATRA, SANJAY ",LOUISIANA STATE UNIV A&M COL BATON ROUGE,2013,370000
SMALL REGULATORY RNAS OF COXIELLA BURNETII - THE AGENT OF Q FEVER,NIAID,1R15AI103511-01,1,R15,AI,103511,1,,9624296,"BATTISTI, JAMES MICHAEL",UNIVERSITY OF MONTANA,2013,421034
MODULATION OF FEAR MEMORY BY CORTICOTROPIN-RELEASING FACTOR IN THE AMYGDALA,NIMH,1R15MH095032-01,1,R15,MH,95032,1,,6916164,"BAUER, ELIZABETH P",BARNARD COLLEGE,2011,392415
IDENTIFICATION OF DNA APTAZYMES FOR SMALL-MOLECULE SENSORS,NIGMS,1R15GM101595-01,1,R15,GM,101595,1,,8501918,"BAUM, DANA A",SAINT LOUIS UNIVERSITY,2012,330000
CHRONIC INTERMITTENT HYPEROXIA AND DEVELOPMENT OF RESPIRATORY CONTROL,NHLBI,1R15HL114001-01A1,1,R15,HL,114001,1,A1,6662952,"BAVIS, RYAN W",BATES COLLEGE,2013,399844
FATE AND EFFECTS OF NANOMATERIALS IN THE GASTROINTESTINAL TRACT,NIEHS,1R15ES020993-01,1,R15,ES,20993,1,,7796515,"BEAMER, CELINE A",UNIVERSITY OF MONTANA,2012,425125
MICROVASCULAR DYSFUNCTION IN HYPERHOMOCYSTEINEMIA,NHLBI,1R15HL106548-01A1,1,R15,HL,106548,1,A1,8642356,"BEARDEN, SHAWN E",IDAHO STATE UNIVERSITY,2012,346342
TRANSDIAGNOSTIC PSYCHIATRIC SYMPTOMS RELATED TO VISUAL PROCESSING ABNORMALITIES,NIMH,1R15MH097222-01A1,1,R15,MH,97222,1,A1,8545290,"BEDWELL, JEFFREY SCOTT",UNIVERSITY OF CENTRAL FLORIDA,2013,404036
NON-LINEAR CHARACTERIZATION OF THE STRETCH REFLEX ARC AND ITS NEUROMODULATION,NINDS,3R15NS062402-01A2S1,3,R15,NS,62402,1,A2S1,9039719,"BEHAL, AMAN ",UNIVERSITY OF CENTRAL FLORIDA,2011,38437
NON-LINEAR CHARACTERIZATION OF THE STRETCH REFLEX ARC AND ITS NEUROMODULATION,NINDS,1R15NS062402-01A2,1,R15,NS,62402,1,A2,9039719,"BEHAL, AMAN ",UNIVERSITY OF CENTRAL FLORIDA,2009,217500
